,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
54,2020-06-02,205.5863058817759,115.88155705578886,292.03205779766324,205.5863058817759,205.5863058817759,-2.4140343528523895,-2.4140343528523895,-2.4140343528523895,-2.4140343528523895,-2.4140343528523895,-2.4140343528523895,0.0,0.0,0.0,203.17227152892352
55,2020-06-03,207.38187449847396,117.01040650381506,293.4622690121813,207.38187449847396,207.38187449847396,-3.507489539127077,-3.507489539127077,-3.507489539127077,-3.507489539127077,-3.507489539127077,-3.507489539127077,0.0,0.0,0.0,203.87438495934688
56,2020-06-04,209.17744311517208,121.64131961816179,292.83202260746214,209.17744311517208,209.17744311517208,-3.8556350999823463,-3.8556350999823463,-3.8556350999823463,-3.8556350999823463,-3.8556350999823463,-3.8556350999823463,0.0,0.0,0.0,205.32180801518973
57,2020-06-05,210.99540026711125,112.10436410282854,294.1831799297077,210.99540026711125,210.99540026711125,-7.76138543764743,-7.76138543764743,-7.76138543764743,-7.76138543764743,-7.76138543764743,-7.76138543764743,0.0,0.0,0.0,203.23401482946383
58,2020-06-08,216.44927172292878,126.00535184490727,302.18075215485203,216.44927172292878,216.44927172292878,-5.874278874884942,-5.874278874884942,-5.874278874884942,-5.874278874884942,-5.874278874884942,-5.874278874884942,0.0,0.0,0.0,210.57499284804385
59,2020-06-09,218.26722887486798,132.60136089969774,294.2928399087889,218.26722887486798,218.26722887486798,-2.414034352872443,-2.414034352872443,-2.414034352872443,-2.414034352872443,-2.414034352872443,-2.414034352872443,0.0,0.0,0.0,215.85319452199553
60,2020-06-10,220.08518602680715,129.63135136896864,304.7312458463094,220.08518602680715,220.08518602680715,-3.5074895391300256,-3.5074895391300256,-3.5074895391300256,-3.5074895391300256,-3.5074895391300256,-3.5074895391300256,0.0,0.0,0.0,216.57769648767712
61,2020-06-11,221.90314317874635,139.74734590701763,298.9917597022402,221.90314317874635,221.90314317874635,-3.8556350999811713,-3.8556350999811713,-3.8556350999811713,-3.8556350999811713,-3.8556350999811713,-3.8556350999811713,0.0,0.0,0.0,218.0475080787652
62,2020-06-12,223.7211003306855,130.19499052475115,308.6536951727037,223.7211003306855,223.7211003306855,-7.761385437634329,-7.761385437634329,-7.761385437634329,-7.761385437634329,-7.761385437634329,-7.761385437634329,0.0,0.0,0.0,215.95971489305117
63,2020-06-15,229.17497178650305,136.43221022294753,307.7674251291059,229.17497178650305,229.17497178650305,-5.874278874897894,-5.874278874897894,-5.874278874897894,-5.874278874897894,-5.874278874897894,-5.874278874897894,0.0,0.0,0.0,223.30069291160515
64,2020-06-16,230.9929289384422,137.22470720723715,314.5511758399645,230.9929289384422,230.9929289384422,-2.414034352876676,-2.414034352876676,-2.414034352876676,-2.414034352876676,-2.414034352876676,-2.414034352876676,0.0,0.0,0.0,228.5788945855655
65,2020-06-17,232.86622559530358,150.64320619085265,317.04662109098746,232.86622559530358,232.86622559530358,-3.507489539129442,-3.507489539129442,-3.507489539129442,-3.507489539129442,-3.507489539129442,-3.507489539129442,0.0,0.0,0.0,229.35873605617414
66,2020-06-18,234.739522252165,140.59699984222092,313.91851278244286,234.739522252165,234.739522252165,-3.8556350999888425,-3.8556350999888425,-3.8556350999888425,-3.8556350999888425,-3.8556350999888425,-3.8556350999888425,0.0,0.0,0.0,230.88388715217616
67,2020-06-19,236.6128189090263,143.17527804988546,309.4745995900633,236.6128189090263,236.6128189090263,-7.7613854376212315,-7.7613854376212315,-7.7613854376212315,-7.7613854376212315,-7.7613854376212315,-7.7613854376212315,0.0,0.0,0.0,228.85143347140504
68,2020-06-22,242.23270887961047,142.78197036296413,314.55341099699996,242.23270887961047,242.23270887961047,-5.874278874890938,-5.874278874890938,-5.874278874890938,-5.874278874890938,-5.874278874890938,-5.874278874890938,0.0,0.0,0.0,236.35843000471954
69,2020-06-23,244.10600553647186,155.7856887353893,324.4121713532637,244.10600553647186,244.10600553647186,-2.4140343528568544,-2.4140343528568544,-2.4140343528568544,-2.4140343528568544,-2.4140343528568544,-2.4140343528568544,0.0,0.0,0.0,241.691971183615
70,2020-06-24,245.9793021933332,150.3595251359422,335.3544476168314,245.9793021933332,245.9793021933332,-3.50748953912886,-3.50748953912886,-3.50748953912886,-3.50748953912886,-3.50748953912886,-3.50748953912886,0.0,0.0,0.0,242.47181265420434
71,2020-06-25,247.85259885019457,156.38613150011992,331.9889800955533,247.85259885019457,247.85259885019457,-3.85563509996536,-3.85563509996536,-3.85563509996536,-3.85563509996536,-3.85563509996536,-3.85563509996536,0.0,0.0,0.0,243.9969637502292
72,2020-06-26,249.72589550705598,150.59685845851098,329.124981185937,249.725895507056,249.725895507056,-7.7613854376081335,-7.7613854376081335,-7.7613854376081335,-7.7613854376081335,-7.7613854376081335,-7.7613854376081335,0.0,0.0,0.0,241.96451006944784
73,2020-06-29,255.51000132494264,161.05452555358158,335.0370195320378,255.51000132494264,255.51000132494264,-5.874278874903891,-5.874278874903891,-5.874278874903891,-5.874278874903891,-5.874278874903891,-5.874278874903891,0.0,0.0,0.0,249.63572245003874
